                    Package    Version
utf8                   utf8      1.2.2
utils                 utils      4.1.3
uuid                   uuid      1.1-0
vctrs                 vctrs      0.4.1
viridisLite     viridisLite      0.4.0
vroom                 vroom      1.5.7
waldo                 waldo      0.4.0
warp                   warp      0.2.0
whisker             whisker        0.4
withr                 withr      2.5.0
workflows         workflows      1.0.0
workflowsets   workflowsets      1.0.0
xfun                   xfun       0.32
xml2                   xml2      1.3.3
xopen                 xopen      1.0.0
xtable               xtable      1.8-4
xts                     xts     0.12.1
yaml                   yaml      2.3.5
yardstick         yardstick      1.0.0
zip                     zip      2.2.0
zoo                     zoo     1.8-10
